 E=   500.00000000000000     
   12.80,   0.24161E+02,   0.92454E-06
   13.00,   0.21153E+02,   0.96495E-06
   13.20,   0.18621E+02,   0.10114E-05
   13.40,   0.16479E+02,   0.10638E-05
   13.60,   0.14660E+02,   0.11218E-05
   13.80,   0.13105E+02,   0.11849E-05
   14.00,   0.11767E+02,   0.12524E-05
   14.20,   0.10609E+02,   0.13235E-05
   14.40,   0.95980E+01,   0.13973E-05
   14.60,   0.87091E+01,   0.14730E-05
   14.80,   0.79214E+01,   0.15498E-05
   15.00,   0.72180E+01,   0.16269E-05
 E=   600.00000000000000     
    2.00,   0.10763E+07,   0.25376E-07
    2.20,   0.72905E+06,   0.36100E-07
    2.40,   0.50887E+06,   0.48196E-07
    2.60,   0.36406E+06,   0.61563E-07
    2.80,   0.26586E+06,   0.76106E-07
    3.00,   0.19753E+06,   0.91738E-07
    3.20,   0.14893E+06,   0.10838E-06
    3.40,   0.11371E+06,   0.12594E-06
    3.60,   0.87752E+05,   0.14437E-06
    3.80,   0.68354E+05,   0.16359E-06
    4.00,   0.53675E+05,   0.18353E-06
    4.20,   0.42444E+05,   0.20413E-06
    4.40,   0.33769E+05,   0.22533E-06
    4.60,   0.27009E+05,   0.24706E-06
    4.80,   0.21703E+05,   0.26928E-06
    5.00,   0.17509E+05,   0.29190E-06
    5.20,   0.14175E+05,   0.31487E-06
    5.40,   0.11511E+05,   0.33813E-06
    5.60,   0.93718E+04,   0.36159E-06
    5.80,   0.76472E+04,   0.38519E-06
    6.00,   0.62517E+04,   0.40886E-06
    6.20,   0.51191E+04,   0.43250E-06
    6.40,   0.41972E+04,   0.45605E-06
    6.60,   0.34450E+04,   0.47940E-06
    6.80,   0.28301E+04,   0.50246E-06
    7.00,   0.23265E+04,   0.52513E-06
    7.20,   0.19135E+04,   0.54732E-06
    7.40,   0.15744E+04,   0.56891E-06
    7.60,   0.12957E+04,   0.58979E-06
    7.80,   0.10666E+04,   0.60985E-06
    8.00,   0.87803E+03,   0.62899E-06
    8.20,   0.72287E+03,   0.64709E-06
    8.40,   0.59517E+03,   0.66407E-06
    8.60,   0.49008E+03,   0.67985E-06
    8.80,   0.40362E+03,   0.69437E-06
    9.00,   0.33252E+03,   0.70761E-06
    9.20,   0.27407E+03,   0.71960E-06
    9.40,   0.22605E+03,   0.73041E-06
    9.60,   0.18663E+03,   0.74022E-06
    9.80,   0.15428E+03,   0.74927E-06
   10.00,   0.12776E+03,   0.75793E-06
   10.20,   0.10602E+03,   0.76668E-06
   10.40,   0.88221E+02,   0.77613E-06
   10.60,   0.73644E+02,   0.78704E-06
   10.80,   0.61710E+02,   0.80026E-06
   11.00,   0.51936E+02,   0.81675E-06
   11.20,   0.43927E+02,   0.83748E-06
   11.40,   0.37357E+02,   0.86340E-06
   11.60,   0.31957E+02,   0.89537E-06
   11.80,   0.27507E+02,   0.93403E-06
   12.00,   0.23829E+02,   0.97977E-06
   12.20,   0.20776E+02,   0.10327E-05
   12.40,   0.18228E+02,   0.10926E-05
   12.60,   0.16088E+02,   0.11589E-05
   12.80,   0.14278E+02,   0.12308E-05
   13.00,   0.12734E+02,   0.13073E-05
   13.20,   0.11407E+02,   0.13874E-05
   13.40,   0.10255E+02,   0.14699E-05
   13.60,   0.92463E+01,   0.15538E-05
   13.80,   0.83548E+01,   0.16380E-05
   14.00,   0.75604E+01,   0.17217E-05
   14.20,   0.68470E+01,   0.18042E-05
   14.40,   0.62022E+01,   0.18847E-05
   14.60,   0.56161E+01,   0.19629E-05
   14.80,   0.50810E+01,   0.20382E-05
   15.00,   0.45909E+01,   0.21104E-05
 E=   650.00000000000000     
    2.00,   0.90967E+06,   0.34033E-07
    2.20,   0.61385E+06,   0.46905E-07
    2.40,   0.42661E+06,   0.61276E-07
    2.60,   0.30374E+06,   0.77027E-07
    2.80,   0.22062E+06,   0.94046E-07
    3.00,   0.16297E+06,   0.11223E-06
    3.20,   0.12210E+06,   0.13148E-06
    3.40,   0.92587E+05,   0.15172E-06
    3.60,   0.70935E+05,   0.17285E-06
    3.80,   0.54829E+05,   0.19479E-06
    4.00,   0.42703E+05,   0.21747E-06
    4.20,   0.33477E+05,   0.24081E-06
    4.40,   0.26393E+05,   0.26472E-06
    4.60,   0.20909E+05,   0.28913E-06
    4.80,   0.16634E+05,   0.31396E-06
    5.00,   0.13280E+05,   0.33913E-06
    5.20,   0.10634E+05,   0.36454E-06
    5.40,   0.85379E+04,   0.39010E-06
    5.60,   0.68694E+04,   0.41571E-06
    5.80,   0.55368E+04,   0.44128E-06
    6.00,   0.44692E+04,   0.46670E-06
    6.20,   0.36116E+04,   0.49184E-06
    6.40,   0.29212E+04,   0.51658E-06
    6.60,   0.23644E+04,   0.54080E-06
    6.80,   0.19146E+04,   0.56436E-06
    7.00,   0.15509E+04,   0.58713E-06
    7.20,   0.12566E+04,   0.60896E-06
    7.40,   0.10182E+04,   0.62972E-06
    7.60,   0.82518E+03,   0.64928E-06
    7.80,   0.66878E+03,   0.66751E-06
    8.00,   0.54209E+03,   0.68432E-06
    8.20,   0.43951E+03,   0.69966E-06
    8.40,   0.35648E+03,   0.71350E-06
    8.60,   0.28933E+03,   0.72591E-06
    8.80,   0.23505E+03,   0.73703E-06
    9.00,   0.19121E+03,   0.74713E-06
    9.20,   0.15582E+03,   0.75661E-06
    9.40,   0.12729E+03,   0.76603E-06
    9.60,   0.10429E+03,   0.77613E-06
    9.80,   0.85755E+02,   0.78783E-06
   10.00,   0.70828E+02,   0.80220E-06
   10.20,   0.58799E+02,   0.82046E-06
   10.40,   0.49099E+02,   0.84384E-06
   10.60,   0.41266E+02,   0.87352E-06
   10.80,   0.34925E+02,   0.91053E-06
   11.00,   0.29776E+02,   0.95559E-06
   11.20,   0.25577E+02,   0.10091E-05
   11.40,   0.22134E+02,   0.10708E-05
   11.60,   0.19291E+02,   0.11404E-05
   11.80,   0.16925E+02,   0.12169E-05
   12.00,   0.14939E+02,   0.12991E-05
   12.20,   0.13253E+02,   0.13856E-05
   12.40,   0.11809E+02,   0.14751E-05
   12.60,   0.10557E+02,   0.15662E-05
   12.80,   0.94612E+01,   0.16575E-05
   13.00,   0.84927E+01,   0.17481E-05
   13.20,   0.76291E+01,   0.18370E-05
   13.40,   0.68534E+01,   0.19234E-05
   13.60,   0.61525E+01,   0.20068E-05
   13.80,   0.55161E+01,   0.20866E-05
   14.00,   0.49366E+01,   0.21626E-05
   14.20,   0.44080E+01,   0.22344E-05
   14.40,   0.39254E+01,   0.23017E-05
   14.60,   0.34851E+01,   0.23644E-05
   14.80,   0.30838E+01,   0.24221E-05
   15.00,   0.27189E+01,   0.24748E-05
 E=   700.00000000000000     
    2.00,   0.77637E+06,   0.43608E-07
    2.20,   0.52170E+06,   0.58735E-07
    2.40,   0.36084E+06,   0.75480E-07
    2.60,   0.25554E+06,   0.93706E-07
    2.80,   0.18453E+06,   0.11328E-06
    3.00,   0.13544E+06,   0.13409E-06
    3.20,   0.10078E+06,   0.15602E-06
    3.40,   0.75856E+05,   0.17897E-06
    3.60,   0.57660E+05,   0.20284E-06
    3.80,   0.44196E+05,   0.22752E-06
    4.00,   0.34118E+05,   0.25293E-06
    4.20,   0.26497E+05,   0.27896E-06
    4.40,   0.20685E+05,   0.30551E-06
    4.60,   0.16219E+05,   0.33249E-06
    4.80,   0.12763E+05,   0.35978E-06
    5.00,   0.10075E+05,   0.38726E-06
    5.20,   0.79732E+04,   0.41483E-06
    5.40,   0.63230E+04,   0.44234E-06
    5.60,   0.50227E+04,   0.46967E-06
    5.80,   0.39951E+04,   0.49668E-06
    6.00,   0.31808E+04,   0.52320E-06
    6.20,   0.25344E+04,   0.54907E-06
    6.40,   0.20203E+04,   0.57414E-06
    6.60,   0.16111E+04,   0.59822E-06
    6.80,   0.12850E+04,   0.62114E-06
    7.00,   0.10250E+04,   0.64274E-06
    7.20,   0.81767E+03,   0.66286E-06
    7.40,   0.65238E+03,   0.68137E-06
    7.60,   0.52063E+03,   0.69818E-06
    7.80,   0.41567E+03,   0.71327E-06
    8.00,   0.33210E+03,   0.72670E-06
    8.20,   0.26562E+03,   0.73865E-06
    8.40,   0.21279E+03,   0.74944E-06
    8.60,   0.17083E+03,   0.75960E-06
    8.80,   0.13754E+03,   0.76986E-06
    9.00,   0.11114E+03,   0.78122E-06
    9.20,   0.90213E+02,   0.79487E-06
    9.40,   0.73627E+02,   0.81224E-06
    9.60,   0.60471E+02,   0.83484E-06
    9.80,   0.50024E+02,   0.86420E-06
   10.00,   0.41709E+02,   0.90168E-06
   10.20,   0.35068E+02,   0.94830E-06
   10.40,   0.29740E+02,   0.10046E-05
   10.60,   0.25439E+02,   0.10706E-05
   10.80,   0.21939E+02,   0.11457E-05
   11.00,   0.19066E+02,   0.12287E-05
   11.20,   0.16682E+02,   0.13181E-05
   11.40,   0.14681E+02,   0.14123E-05
   11.60,   0.12981E+02,   0.15095E-05
   11.80,   0.11518E+02,   0.16079E-05
   12.00,   0.10245E+02,   0.17062E-05
   12.20,   0.91250E+01,   0.18030E-05
   12.40,   0.81306E+01,   0.18973E-05
   12.60,   0.72410E+01,   0.19882E-05
   12.80,   0.64404E+01,   0.20752E-05
   13.00,   0.57171E+01,   0.21578E-05
   13.20,   0.50620E+01,   0.22355E-05
   13.40,   0.44682E+01,   0.23081E-05
   13.60,   0.39303E+01,   0.23752E-05
   13.80,   0.34436E+01,   0.24367E-05
   14.00,   0.30045E+01,   0.24921E-05
   14.20,   0.26097E+01,   0.25412E-05
   14.40,   0.22561E+01,   0.25837E-05
   14.60,   0.19408E+01,   0.26192E-05
   14.80,   0.16612E+01,   0.26472E-05
   15.00,   0.14146E+01,   0.26673E-05
 E=   750.00000000000000     
    2.00,   0.66802E+06,   0.54047E-07
    2.20,   0.44682E+06,   0.71522E-07
    2.40,   0.30744E+06,   0.90728E-07
    2.60,   0.21646E+06,   0.11151E-06
    2.80,   0.15532E+06,   0.13371E-06
    3.00,   0.11321E+06,   0.15720E-06
    3.20,   0.83614E+05,   0.18185E-06
    3.40,   0.62437E+05,   0.20754E-06
    3.60,   0.47058E+05,   0.23414E-06
    3.80,   0.35745E+05,   0.26155E-06
    4.00,   0.27332E+05,   0.28963E-06
    4.20,   0.21014E+05,   0.31827E-06
    4.40,   0.16232E+05,   0.34733E-06
    4.60,   0.12586E+05,   0.37668E-06
    4.80,   0.97894E+04,   0.40618E-06
    5.00,   0.76339E+04,   0.43567E-06
    5.20,   0.59651E+04,   0.46499E-06
    5.40,   0.46684E+04,   0.49397E-06
    5.60,   0.36580E+04,   0.52241E-06
    5.80,   0.28686E+04,   0.55013E-06
    6.00,   0.22509E+04,   0.57691E-06
    6.20,   0.17669E+04,   0.60255E-06
    6.40,   0.13872E+04,   0.62683E-06
    6.60,   0.10892E+04,   0.64956E-06
    6.80,   0.85535E+03,   0.67054E-06
    7.00,   0.67183E+03,   0.68964E-06
    7.20,   0.52787E+03,   0.70677E-06
    7.40,   0.41502E+03,   0.72196E-06
    7.60,   0.32664E+03,   0.73534E-06
    7.80,   0.25748E+03,   0.74726E-06
    8.00,   0.20343E+03,   0.75826E-06
    8.20,   0.16122E+03,   0.76920E-06
    8.40,   0.12828E+03,   0.78120E-06
    8.60,   0.10259E+03,   0.79573E-06
    8.80,   0.82555E+02,   0.81451E-06
    9.00,   0.66919E+02,   0.83941E-06
    9.20,   0.54696E+02,   0.87228E-06
    9.40,   0.45115E+02,   0.91472E-06
    9.60,   0.37574E+02,   0.96789E-06
